Object ID,Is Public Domain,Department,AccessionYear,Object Name,Title,Culture,Artist Display Name,Artist Display Bio,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,City,Tags,Link Resource,Object Wikidata URL
16873,False,The American Wing,2000.0,Coffeepot,Coffeepot,American,Willets Manufacturing Company,1879–1908,ca. 1901,1901,1901,Porcelain,9 1/4 x 5 1/4 in. (23.5 x 13.3 cm),Trenton,,http://www.metmuseum.org/art/collection/search/16873,https://www.wikidata.org/wiki/Q116393521
707200,False,Drawings and Prints,1955.0,Book,Orazione funebre in morte del Marchese Scipione Maffei detta nella cattedrale di Verona...Con l'aggiunta d'alcuni componimenti poetici d'autore veronese... (Verona 1755),,Dionigi Ramanzini; Marc'Antonio Pindemonte; Domenico Cunego; Giovanni Antonio Urbani; Adriano Cristofali; Pietro Rotari,"| |Italian, Verona 1727–1803 Rome|Italian, active 18th century|Italian, Verona 1718–1788 Verona|Italian, Verona 1707–1762 St. Petersburg",1755,1755,1755,Book; engraved portrait of Maffei (Cunego) and fold out plan of catafalque (Urbani),"Height: 9 5/16 in. (23.7 cm)
Width: 6 1/2 in. (16.5 cm)",Lucca,,http://www.metmuseum.org/art/collection/search/707200,
785211,False,The American Wing,2018.0,Platter,Platter,French,"G. Baruch Weil; Airé & Cie, Paris","1799–1828 Paris, France|",ca. 1801–04,1796,1809,Porcelain,15 1/2 × 11 in. (39.4 × 27.9 cm),Paris,,http://www.metmuseum.org/art/collection/search/785211,
746637,False,Drawings and Prints,1944.0,"Book Print Ornament, Architecture",Design for a shawl with scrolling paisley leaves and Indian flowers,,Fleury Chavant; Georges Schlatter; J.E.G.; Herault,"French, 19th century|French| |French, 19th Century",[after 1844],1844,1900,Lithograph,"Sheet: 12 3/16 × 9 13/16 in. (31 × 25 cm)
Book: 12 3/8 in. × 10 in. × 1 5/16 in. (31.5 × 25.4 × 3.3 cm)",Paris,,http://www.metmuseum.org/art/collection/search/746637,
892631,False,The Libraries,,,Roller-printed paste papers for bookbinding,,Henry Morris,"American, 1925–2019",1975,1975,1975,,"[2], 57, [5] pages : illustrations, color samples ; Height: 6 5/16 in. (16 cm), Width: 9 7/16 in. (24 cm)",North Hills,,http://www.metmuseum.org/art/collection/search/892631,
345536,False,Drawings and Prints,1961.0,Book,"Manufacturer of electro plated British plate equal to silver. . .furnishing ironmonger, and manufaturere of tin, copper, iron & Japan wares",,James Barlow,"British, active 1845",ca. 1845,1840,1850,,,London,,http://www.metmuseum.org/art/collection/search/345536,
9311,False,The American Wing,1980.0,Vase,Vase,American,The Alvin Manufacturing Company,1886–1928,1890–1905,1890,1905,"Glass, silver","Overall: 13 15/16 x 5 1/4 in. (35.4 x 13.3 cm); 36 oz. 4 dwt. (1126.2 g)
Base: Diam. 4 15/16 in. (12.5 cm)",Providence,Flowers,http://www.metmuseum.org/art/collection/search/9311,https://www.wikidata.org/wiki/Q116393174
727940,False,Drawings and Prints,1991.0,"Book Prints Ornament, Architecture","Fleurs (Flowers), Plate 15",,"G. Kadar; Editions ""Synth""; Serge Gladky","| |French, active 1920–30s",1929,1929,1929,Pochoir,"Sheet: 12 11/16 × 9 5/16 in. (32.3 × 23.6 cm)
Album: 13 1/4 × 10 1/4 × 11/16 in. (33.7 × 26 × 1.7 cm)",Paris,,http://www.metmuseum.org/art/collection/search/727940,
659600,False,Drawings and Prints,1918.0,"Books Prints Ornament, Architecture","Esemplario di Lauori..., page 17 (verso)",,Florio Vavassore; Giovanni Andrea Vavassore,"Italian, active 16th century|Italian, active Venice 1530–1573","August 1, 1532",1532,1532,Woodcut,Overall: 8 7/16 x 6 5/16 in. (21.5 x 16 cm),Venice,,http://www.metmuseum.org/art/collection/search/659600,
7803,True,The American Wing,1933.0,Spoon,Spoon,American,"Paul Revere, III",1760–1813,ca. 1800,1797,1800,Silver,L. 9 1/4 in. (23.5 cm),Boston,,http://www.metmuseum.org/art/collection/search/7803,https://www.wikidata.org/wiki/Q116331447
9479,True,The American Wing,1896.0,Vase,Vase,American,Louis C. Tiffany; Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",1893–96,1893,1896,Favrile glass,H. 14 1/2 in. (36.8 cm),New York,,http://www.metmuseum.org/art/collection/search/9479,https://www.wikidata.org/wiki/Q116342066
8221,True,The American Wing,1933.0,Tankard,Tankard,American,Nicholas Roosevelt,1715–1769,1740–50,1740,1750,Silver,"Overall: 7 1/4 x 7 3/8 in. (18.4 x 18.7 cm); 29 oz. 12 dwt. (920.8 g)
Base: Diam. 5 3/16 in. (13.2 cm)
Lip: Diam. 4 5/16 in. (11 cm)",New York,,http://www.metmuseum.org/art/collection/search/8221,https://www.wikidata.org/wiki/Q116332839
696861,False,Drawings and Prints,1962.0,Print,"The death of Saint Joseph, who lies in bed surrounded by the Virgin, Christ, and angels; above, an angel carries lilies; from the series of 112 prints of the sacred history, after the painting by Giovanni Battista Pittoni",,Pietro Monaco; Giovanni Battista Pittoni; Pietro Monaco,"Italian, Belluno 1707–1772 Venice|Italian, Venice 1687–1767 Venice|Italian, Belluno 1707–1772 Venice",ca. 1730–39,1727,1742,Etching and engraving,Sheet (Trimmed): 19 7/8 × 13 13/16 in. (50.5 × 35.1 cm),Venice,,http://www.metmuseum.org/art/collection/search/696861,
349406,False,Drawings and Prints,1957.0,Book,"Every Lady Her Own Shoemaker; or, a complete self-instructor in the art of making gaiters and shoes",,Dewitt & Davenport,"New York, NY",1856,1856,1856,,,New York,,http://www.metmuseum.org/art/collection/search/349406,
701829,True,Drawings and Prints,1960.0,"Print, Fete, Ornament, Architecture",Plate 12: Members of the clergy marching in the funeral procession of Archduke Albert of Austria; from 'Pompa Funebris ... Alberti Pii',,Cornelis Galle I; Jacques Francquart,"Netherlandish, Antwerp 1576–1650 Antwerp|French, Brussels 1577–1651 Brussels",1623,1623,1623,Etching with hand coloring,"Sheet: 11 3/16 × 15 1/4 in. (28.4 × 38.8 cm)
Plate: 10 3/16 × 14 9/16 in. (25.8 × 37 cm)",Brussels,"Men, Funerals",http://www.metmuseum.org/art/collection/search/701829,
491147,False,Modern and Contemporary Art,1943,Textile sample,Sample,American,Louis A. Stirn; Edmund A. Stirn,"American (born Germany), Frankfurt-am-Main 1863–1962 Staten Island, New York|American (born Germany ?), 1868– (?)",1925,1925,1925,"Silk, printed",Dimensions unrecorded,New York,,http://www.metmuseum.org/art/collection/search/491147,
23052,True,Arms and Armor,1928.0,Cased pair of flintlock pistols with accessories,Cased Pair of Flintlock Pistols with Accessories,"French, Paris",François Pirmet; Nicolas Noël Boutet,"French, Paris, recorded 1779–1818|French, Versailles and Paris, 1761–1833",ca. 1810,1785,1835,"Steel, gold, wood (walnut, mahogany), silver, tortoiseshell, velvet","L. of each pistol 15 1/4 in. (38.7 cm); L. of each barrel 9 3/8 in. (23.8 cm); Cal. of barrel 28.196.1a, .48 in. (12 mm); Cal. of barrel 28.196.1b, .49 in. (12 mm); Wt. of each pistol 2 lb. 5 oz. (1050 g)",Paris,,http://www.metmuseum.org/art/collection/search/23052,https://www.wikidata.org/wiki/Q116240968
431367,False,Drawings and Prints,1933.0,"Print collection ornament, architecture","Two demi-façades with people on the stairs at lower right, from Portails d'églises, plate 4, bound in Oeuvres. Vol. II",,Jean Le Pautre; Pierre Mariette le fils,"French, Paris 1618–1682 Paris|French, Paris 1634–1716 Paris",17th century,1633,1682,Etching; second state of two (Préaud),"Sheet: 13 1/8 × 8 7/16 in. (33.4 × 21.5 cm)
Plate: 8 9/16 × 5 7/8 in. (21.7 × 15 cm)",Paris,,http://www.metmuseum.org/art/collection/search/431367,
349215,False,Drawings and Prints,1939.0,"Book, Ornament and Architecture","Eighteen Designs for Glebe Houses and Rural Cottages, with Ground Plans",,Lady Helena Donville; J. Mitchell and J. Weale,"British, 19th century|London",ca. 1840,1835,1845,Illustrations: lithographs,8 11/16 × 11 1/4 × 3/8 in. (22 × 28.5 × 1 cm),London,,http://www.metmuseum.org/art/collection/search/349215,
373620,False,Drawings and Prints,1941.0,"Book, Ornament and architecture",L'architecture de Vitruve,,Marcus Pollio Vitruvius; Charles L. Maufras; Charles Louis Fleury Panckoucke,"Roman, active late 1st century BCE|French|French, 1780–1844",1847,1847,1847,Printed book with illustrations,8 5/16 x 5 1/2 x 1 7/16 in. (21.1 x 14 x 3.7 cm),Paris,,http://www.metmuseum.org/art/collection/search/373620,
727945,False,Drawings and Prints,1991.0,"Book Prints Ornament, Architecture","Fleurs (Flowers), Plate 20",,"G. Kadar; Editions ""Synth""; Serge Gladky","| |French, active 1920–30s",1929,1929,1929,Pochoir,"Sheet: 13 in. × 9 5/16 in. (33 × 23.7 cm)
Album: 13 1/4 × 10 1/4 × 11/16 in. (33.7 × 26 × 1.7 cm)",Paris,,http://www.metmuseum.org/art/collection/search/727945,
641091,False,Drawings and Prints,1948.0,Print,"Woman seated on a chair, bound in L'Oeuvre original de Vivant Denon. Collection de eaux-fortes, Volume 1",,A. Barrand; baron Dominique Vivant Denon,"|French, Givry 1747–1825 Paris",1873,1873,1873,Lithograph,"Plate: 4 1/2 × 3 3/8 in. (11.4 × 8.5 cm)
Sheet: 15 3/8 × 11 1/4 in. (39 × 28.5 cm)",Paris,,http://www.metmuseum.org/art/collection/search/641091,
690578,False,Drawings and Prints,1952.0,Book,"Vue de l'Eglise de St Jean, from Les Plus Beaux Edifices de Rome Moderne, ou Recueil des plus belles vues des principales eglises, places, palais, fontaines etc. qui sont dans Rome",,Bouchard & Gravier; Jean Barbault; Dominico Montagu; Komarek,"Rome|French, Viarmes 1718–1762 Rome|Italian, active Rome, ca. 1750–76|",1763,1763,1763,Engraving,Plate: 15 9/16 × 21 5/16 in. (39.6 × 54.2 cm),Rome,,http://www.metmuseum.org/art/collection/search/690578,
660649,True,Drawings and Prints,1921.0,"Books Prints Ornament, Architecture","Splendore delle virtuose giovani, page 3 (verso)",,Iseppo Foresto; Jeronimo Calepino,"Italian, active Venice, 1557|",1564,1564,1564,Woodcut,Overall: 7 1/2 x 5 1/2 in. (19 x 14 cm),Venice,"Peacocks, Flowers, Vines",http://www.metmuseum.org/art/collection/search/660649,
3159,True,The American Wing,1985.0,Desk and bookcase,Cylinder Desk and Bookcase,American,Duncan Phyfe,"American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York",1815–20,1815,1820,"Mahogany, mahogany veneer, satinwood, gilded
gesso with yellow poplar, white pine",95 3/8 x 48 1/8 x 24 in. (242.3 x 122.2 x 61 cm),New York,,http://www.metmuseum.org/art/collection/search/3159,https://www.wikidata.org/wiki/Q116370669
348837,False,Drawings and Prints,1924.0,Book,Annual Catalogue of Fruit Trees,,J. D. Spalding; A. J. Downing & Co.,"Newburgh, New York|American, 19th century",1839,1839,1839,Illustrations: photomechanical process,7 5/8 x 4 3/16 in. (19.3 x 10.7 cm),Newburgh,,http://www.metmuseum.org/art/collection/search/348837,
350052,True,Drawings and Prints,1922.0,Book,Les Français Peints par Eux-Mêmes. Tome 1-5. Province Tome 1-3,,Henri-Léon Curmer,"French, 1801–1870",1840–42,1840,1842,wood engraved illustrations,,Paris,Women,http://www.metmuseum.org/art/collection/search/350052,
433758,False,Drawings and Prints,1933.0,"Print collection ornament, architecture","The Hebrews worshipping God, from Histoire de Moïse, plate 3, bound in Oeuvres. Vol. IV",,Jean Le Pautre; Jacques II Chereau,"French, Paris 1618–1682 Paris|French, Blois 1688–1776 Paris",17th century,1633,1682,Etching; second state of three (Préaud),"Sheet: 12 × 15 3/8 in. (30.5 × 39 cm)
Plate: 8 11/16 × 11 13/16 in. (22 × 30 cm)",Paris,,http://www.metmuseum.org/art/collection/search/433758,
350487,False,Drawings and Prints,1941.0,Book Ornament and Architecture,Rules for Drawing the Several Parts of Architecture,,James Gibbs; J. and P. Knapton; S. Austen; A. Bettesworth; C. Hitch; W. Innys; R. Manby,"British, Aberdeen, Scotland 1682–1754 London|British, active 1735–89|London|London|London|London|British",1738,1738,1738,Illustrations: etching and engraving,19 x 12 1/2 in. (48.3 x 31.8 cm),London,,http://www.metmuseum.org/art/collection/search/350487,
736076,True,Drawings and Prints,1959.0,Print,Preceptor and Pupil,,"Thomas Rowlandson; Charles James Fox; George, Prince of Wales; George Humphrey","British, London 1757–1827 London|British, 1749–1806|British, London 1762–1830 Windsor|British, 1773?–1831?","May 18, 1784",1784,1784,Etching,Sheet: 9 3/8 × 13 1/16 in. (23.8 × 33.2 cm),London,"Animals, Men",http://www.metmuseum.org/art/collection/search/736076,
698422,False,Drawings and Prints,1921.0,Book,Plate 2: God the Father separating the light from the darkness; from 'Imagines Veteris Ac Novi Testamenti A Raphaele Sanctio Urbinate in Vaticani Palatii Xystis' after Raphael,,Giovanni Giacomo De Rossi; Cesare Fantetti; Raphael (Raffaello Sanzio or Santi),"Italian, Rome 1627–1691 Rome|Italian, Florence 1660–1675|Italian, Urbino 1483–1520 Rome",1675,1675,1675,Etching,Plate: 7 5/8 × 12 3/16 in. (19.4 × 31 cm),Rome,,http://www.metmuseum.org/art/collection/search/698422,
14443,False,The American Wing,1992.0,Stained glass window,Stained Glass Window,American,"McKim, Mead and White; Decorative Stained Glass Company",|,1882–84,1882,1884,"Leaded colored glass, pine",19 1/4 x 20 3/8 in. (48.9 x 51.8 cm),New York,,http://www.metmuseum.org/art/collection/search/14443,https://www.wikidata.org/wiki/Q116393433
354814,False,Drawings and Prints,1962.0,"Book, Ornament and architecture","Illustrated catalogue...no. 38, of stoves, chimney pieces, kitchen ranges, general ironwork",,Thomas O'Brien and Co.,London,1903–4,1903,1904,"Illustrations: lithographs, printed in blue ink",7 9/16 x 5 3/16 x 2 7/16 in. (19.2 x 13.2 x 6.2 cm),London,,http://www.metmuseum.org/art/collection/search/354814,
503526,False,Musical Instruments,1999,Oboe,Oboe,French,Thibouville-Lamy,,ca. 1910,1900,1920,"Grenadilla, nickel-silver",L. 23-5/8 in. (59.9 cm),Paris,,http://www.metmuseum.org/art/collection/search/503526,
727726,False,Drawings and Prints,1991.0,"Book Prints Ornament, Architecture","Studio d'Arts Décoratifs, 3e Série, Pl. 2, Six Dessins de haute fantaisie, Coloris nouveaux",,Nicolas Sorokine; Armand Guérinet,"|French, active ca. 1890–1920",[ca. 1930],1925,1935,"Pochoir, commercial photo process, hand-colored","Sheet: 11 5/8 × 15 3/4 in. (29.6 × 40 cm)
Album: 16 1/8 × 12 1/2 × 7/8 in. (40.9 × 31.8 × 2.3 cm)",Paris,,http://www.metmuseum.org/art/collection/search/727726,
668739,False,The American Wing,2022.0,Pitcher,Pitcher,American,D. &  J. Henderson Flint Stoneware Manufactory,active 1829–33,1829–33,1829,1833,"Yellow ware, slip-cast",7 5/8 in. (19.4 cm),Jersey City,,http://www.metmuseum.org/art/collection/search/668739,
872033,False,The Libraries,,,A weaver of dreams,,"Margaret Neilson Armstrong; G.P. Putnam & Co., New York; Myrtle Reed","American, New York 1867–1944 New York| |American, 1874–1911",1911,1911,1911,,"iv, 374 p., [1] leaf of plates : 1 col. ill.",New York,,http://www.metmuseum.org/art/collection/search/872033,
503439,False,Musical Instruments,1992,Violinett,Violinett,German,Johannes Pugh,"German, 1851–1939",ca. 1920,1910,1930,"Wood, metal",L. ca. 71 cm (28 in.); String L. 47 cm (47 in.),Altona,,http://www.metmuseum.org/art/collection/search/503439,
627089,False,Drawings and Prints,1937.0,"Print ornament, architecture","Entablature, capital and two consoles, plate 4, from Architectura 3e Stuck de oorden Tuschana",,Hans Vredeman de Vries; Johannes van Doetecum I; Lucas van Doetecum; Volcxken Dierix,"Netherlandish, Leeuwarden 1527–1606 (?)  Antwerp (?)|Netherlandish, 1528/32–1605|Netherlandish, active 1554–72, died before 1589|Netherlandish, active Antwerp, second half 16th century",1578,1578,1578,Etching,"Plate: 9 1/4 × 11 11/16 in. (23.5 × 29.7 cm)
Sheet: 11 5/8 × 15 5/16 in. (29.5 × 38.9 cm)",Antwerp,,http://www.metmuseum.org/art/collection/search/627089,
8518,True,The American Wing,1970.0,Tile,Tile,American,J. and J. G. Low Art Tile Works,"American, Chelsea, Massachusetts, 1877–1903",ca. 1884,1881,1884,Earthenware,6 1/16 x 3 1/16 x 3/8 in. (15.4 x 7.7 x 1 cm),Chelsea,,http://www.metmuseum.org/art/collection/search/8518,https://www.wikidata.org/wiki/Q116341983
381951,False,Drawings and Prints,1946.0,Book,Grand Livre des Patissiers et de Confiseurs. Tome II.,,E. Dentu; Motteroz; Urbain Dubois,| |,1883,1883,1883,"Engraving, woodcut",Overall: 12 13/16 x 10 3/16 x 1 5/16 in. (32.5 x 25.8 x 3.4 cm),Paris,,http://www.metmuseum.org/art/collection/search/381951,
3729,True,The American Wing,1940.0,Flask,Flask,American,Dyottville Glass Works,1833–1923,ca. 1847–48,1844,1848,Free-blown molded aquamarine glass,H. 8 5/8 in. (21.9 cm),Kensington,"Men, Profiles, George Washington",http://www.metmuseum.org/art/collection/search/3729,https://www.wikidata.org/wiki/Q116370219
8805,False,The American Wing,1985.0,Tray,Tray,American,Unger Brothers,1872–1919,1900–1910,1900,1910,Silver,3/4 x 8 x 5 15/16 in. (1.9 x 20.3 x 15.1 cm); 4 oz. 6 dwt. (134.5 g),Newark,,http://www.metmuseum.org/art/collection/search/8805,https://www.wikidata.org/wiki/Q116337150
664842,False,Drawings and Prints,1952.0,Print,"Faune, from Les Plus Beaux Monuments de Rome Ancienne ou Recueil des plus beaux Morceaux de l'Antiquité Romaine qui existent encore",,Jean Barbault; Bouchard & Gravier; Giunchi Heritiers de Komarek,"French, Viarmes 1718–1762 Rome|Rome|",1761,1761,1761,Etching,Plate: 13 5/8 × 8 9/16 in. (34.6 × 21.8 cm),Rome,,http://www.metmuseum.org/art/collection/search/664842,
337517,False,Drawings and Prints,1977.0,Book,"Compositions Tirées des Ouvrages, des Jours, et de la Théogonie d'Hésiode, dessinées par Jean Flaxman, R.A.P.S.",,John Flaxman; Tommaso Piroli; Hesiod,"British, York 1755–1826 London|Italian, Rome 1752–1824 Rome|Greek, active ca. 700 BCE",1818 (?),1815,1820,Illustrations: line engraving,12 15/16 x 18 3/8 x 11/16 in.  (32.9 x 46.6 x 1.7 cm),Paris,,http://www.metmuseum.org/art/collection/search/337517,
345410,False,Drawings and Prints,1957.0,Book,The Bible Looking Glass,,"John Warner Barber; Bradley, Garreston & Co.; Rev. William Holmes; Henry Howe","American, Windsor, Connecticut 1798–1885 New Haven, Connecticut|Philadelphia, Pennsylvania|British, 18th century|American, 1816–1893",1874,1874,1874,Illustrations: engravings,8 7/8 x 6 11/16 in. (22.5 x 17 cm),Philadelphia,,http://www.metmuseum.org/art/collection/search/345410,
350081,False,Drawings and Prints,1962.0,Book,"[Catalogue] manufacturers of high class window and interior display fixtures, dry goods. . . wax and paper mache forms",,Frankel Display Fixtures Co.,"New York, NY",n.d.,1800,1960,,,New York,,http://www.metmuseum.org/art/collection/search/350081,
348497,False,Drawings and Prints,1937.0,"Book Prints Ornament, Architecture",Nouvelle Iconologie Historique ou Attributes Hierogliphyques... Tome 1.,,Jean Charles Delafosse; Charles Beurlier; Jean François Daumont; Le Pere et Avaulet; Jacques François Chereau,"French, Paris 1734–1789 Paris|French, first cited 1768, last cited 1775|French, active ca. 1750–before 1775| |French, Paris 1742–1794 Paris",1771–[1782] (?),1771,1782,"Etching, engraving",Overall: 16 5/8 x 11 1/4 x 1 1/2 in. (42.3 x 28.5 x 3.8 cm),Paris,,http://www.metmuseum.org/art/collection/search/348497,
660975,True,Drawings and Prints,1953.0,"Books Prints Ornament, Archiecture","Fiori di Ricami Nuovamente Posti in Luce, page 8 (recto)",,Matteo Florimi; Francesco de' Franceschi,"Italian, active Siena, ca. 1581–died 1613|Italian, active 16th century",1591,1591,1591,Woodcut,Overall: 5 1/2 x 7 7/8 in. (14 x 20 cm),Venice,Flowers,http://www.metmuseum.org/art/collection/search/660975,
2097,False,The American Wing,1968.0,Clock,Clock,American,Tiffany & Co.,1837–present,ca. 1885,1882,1885,"Marble, bronze",18 1/8 x 20 1/8 x 7 3/4 in. (46 x 51.1 x 19.7 cm),New York,"Obelisks, Hieroglyphs, Sphinx",http://www.metmuseum.org/art/collection/search/2097,https://www.wikidata.org/wiki/Q83560049
8217,True,The American Wing,1933.0,Tankard,Tankard,American,Paul Revere Jr.; Paul Revere Sr.,"American, Boston, Massachusetts 1734–1818 Boston, Massachusetts|1702–1754",ca. 1750,1747,1750,Silver,"Overall: 6 3/8 x 5 1/2 in. (16.2 x 14 cm); 17 oz. 12 dwt. (546.9 g)
Base: Diam. 4 1/8 in. (10.5 cm)
Lip: Diam. 3 1/4 in. (8.3 cm)",Boston,Coat of Arms,http://www.metmuseum.org/art/collection/search/8217,https://www.wikidata.org/wiki/Q116333070
348505,False,Drawings and Prints,1977.0,Book,Monographie de L'Oeuvre de Bernard Palissy,,Henri Delange; Sauzay; C. Borneman; Lemercier & Cie.; E. Martinet; Bernard Palissy; Emilien de Nieuwerkerke; Carle Delange,"French|French| |French, Paris| |French, Agen, Lot-et-Garonne 1510–1590 Paris|French, Paris 1811–1892 Gattaiola|French",1862,1862,1862,Chromolithography,20 7/8 x 14 9/16 x 1 3/16 in. (53 x 37 x 3 cm),Paris,,http://www.metmuseum.org/art/collection/search/348505,
384056,False,Drawings and Prints,1953.0,Book,National Portrait Gallery of Eminent Americans from Original Paintings by Alonzo Chappel,,"Evert Augustus Duyckinck; Alonzo Chappel; Johnson, Fry & Co.","American, 1816–1878|American, New York 1828–1887 Middle Island, New York|American, New York",1862,1862,1862,Illustrations: engraving,11 7/16 x 8 11/16 in. (29 x 22 cm),New York,,http://www.metmuseum.org/art/collection/search/384056,
347443,False,Drawings and Prints,1955.0,Book,Catalogus Gloriae Mundi,,Bartolomeo de Chasseneux; Antoine Vincent,"ca. 1480–1541|French, 16th century",1546,1546,1546,Woodcuts,Overall: 12 15/16 x 8 13/16 x 2 in. (32.8 x 22.4 x 5.1 cm),Lyon,,http://www.metmuseum.org/art/collection/search/347443,
490948,False,Modern and Contemporary Art,1941,"Hanging, woven",Hanging,American,Scalamandré,,before 1941,1940,1941,Silk and cotton,94 x 51 in. (238.8 cm. x 129.5 cm. ),New York,Flowers,http://www.metmuseum.org/art/collection/search/490948,
655997,False,Drawings and Prints,1947.0,Print,Fox Hounds of the Hatfield Hunt,,Henry G. Bohn; Thomas Landseer; Sir Edwin Henry Landseer,"|British, London 1795–1880 London|British, London 1802–1873 London",1853,1853,1853,Etching,"Plate: 5 13/16 × 8 15/16 in. (14.8 × 22.7 cm)
Sheet: 9 5/8 × 12 11/16 in. (24.5 × 32.2 cm)",London,,http://www.metmuseum.org/art/collection/search/655997,
426464,False,Drawings and Prints,1930.0,"Prints Collection Ornament, Architecture","Four Designs for Borders for Baldachins or Valances, Combined with Three Designs for Chairs and Tabourets at Left, from Second Liure Dappartements, part of Œuvres du Sr. D. Marot",,Daniel Marot the Elder; Pierre Husson,"French, Paris 1661–1752 The Hague|",published 1703 or 1712,1703,1712,Etching,"Sheet: 13 7/16 × 8 9/16 in. (34.2 × 21.7 cm)
Plate: 10 7/8 × 7 1/2 in. (27.6 × 19 cm)",The Hague,,http://www.metmuseum.org/art/collection/search/426464,
3204,False,The American Wing,1969.0,Dinner plate,Dinner Plate,American,Union Porcelain Works,1863–1922,1885,1885,1885,Porcelain,Diam. 9 7/16 in. (24 cm),Brooklyn,,http://www.metmuseum.org/art/collection/search/3204,https://www.wikidata.org/wiki/Q116391802
346777,False,Drawings and Prints,1941.0,"Book, Ornament and architecture",Sixty Different Sorts of Ornaments,,Gaetano Brunetti; Henry Fletcher; Jean La Rocque,"Italian, active in London and Paris, (?)–1758|British, active 1715–38|British, active 18th century",1736,1736,1736,Illustrations: etching,10 3/16 x 8 1/4 x 7/8 in. (25.8 x 21 x 2.3 cm),London,,http://www.metmuseum.org/art/collection/search/346777,
